video,rally,gt_frame,gt_action,min_player_dist,direction_change_deg,verdict,generators_hit,n_candidate_frames_near_gt
wawa,82d549a6,551,ATTACK,0.047,149.3,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,deceleration,direction_change",1
kaka,ca5d5f57,396,ATTACK,0.054,63.5,NO_CANDIDATE_GENERATED,velocity_peak,0
wawa,8c49e480,338,ATTACK,0.067,172.7,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change,net_crossing",2
kaka,1df0170d,467,ATTACK,0.068,86.3,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,direction_change,net_crossing",2
kaka,00087663,452,ATTACK,0.038,45.1,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change",1
papa,047c5e5f,508,ATTACK,0.085,131.3,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change",1
kaka,a265d8e4,333,ATTACK,0.084,175.4,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,direction_change,net_crossing",1
wawa,82d549a6,464,SET,0.041,168.8,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,parabolic,direction_change",3
kaka,f33d7ac8,213,SERVE,0.052,153.3,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,direction_change",2
titi,43b849ec,368,DIG,0.056,147.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,deceleration,direction_change,net_crossing",1
kaka,06bb6064,425,ATTACK,0.032,138.5,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change",2
gaga,9e03194b,417,DIG,0.024,154.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,deceleration",1
juju,57d1327c,513,SET,0.101,148.8,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,parabolic,direction_change,net_crossing",2
juju,57d1327c,553,ATTACK,0.092,144.3,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,parabolic,net_crossing",1
lulu,55565c2b,508,DIG,0.067,60.9,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change",2
juju,e03ef981,209,DIG,0.14,88.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change,net_crossing",2
juju,d810943e,298,DIG,0.1,173.6,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,parabolic,net_crossing",2
juju,acada27e,325,DIG,0.051,172.3,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change,net_crossing",2
kiki,a0aba15e,658,ATTACK,0.063,178.3,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,deceleration,parabolic,direction_change,net_crossing",2
juju,acada27e,253,DIG,0.058,165.4,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change,net_crossing",2
kaka,7b646ff4,190,SERVE,0.121,180.0,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,deceleration,direction_change",1
kaka,f33d7ac8,522,ATTACK,0.053,115.5,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change",1
kaka,991cfe31,719,DIG,0.095,161.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change",2
